Date,TLT,EMB,AGG,Cash,SPY,EFA,VWO,GLD,DBC
1980-06-06,,,1064.337937,,1048.730776,1062.463145,,1166.015625,
1980-06-09,,,1064.337937,,1053.455623,1062.463145,,1218.261719,
1980-06-10,,,1064.337937,,1062.256809,1062.463145,,1179.6875,
1980-06-11,,,1064.337937,,1074.856402,1062.463145,,1164.0625,
1980-06-12,,,1064.337937,,1070.224199,1062.463145,,1152.34375,
1980-06-13,,,1064.337937,,1072.910876,1062.463145,,1188.28125,
1980-06-16,,,1064.337937,,1075.50491,1062.463145,,1162.109375,
1980-06-17,,,1064.337937,,1074.949046,1062.463145,,1155.761719,
1980-06-18,,,1064.337937,,1077.079859,1062.463145,,1176.757813,
1980-06-19,,,1064.337937,,1062.256809,1062.463145,,1169.921875,
1980-06-20,,,1064.337937,,1056.698166,1062.463145,,1177.539063,
1980-06-23,,,1064.337937,,1060.867148,1062.463145,,1165.039063,
1980-06-24,,,1064.337937,,1066.703724,1062.463145,,1177.734375,
1980-06-25,,,1064.337937,,1081.341486,1062.463145,,1215.820313,
1980-06-26,,,1064.337937,,1076.431351,1062.463145,,1219.726563,
1980-06-27,,,1064.337937,,1074.671114,1062.463145,,1245.117188,
1980-06-30,,,1084.402924,,1058.365759,1128.907713,,1276.367188,
1980-07-01,,,1084.402924,,1064.758199,1128.907713,,1289.0625,
1980-07-02,,,1084.402924,,1071.706504,1128.907713,,1291.992188,
1980-07-03,,,1084.402924,,1088.197147,1128.907713,,1295.898438,
1980-07-04,,,1084.402924,,1088.197147,1128.907713,,1301.757813,
1980-07-07,,,1084.402924,,1095.886604,1128.907713,,1303.710938,
1980-07-08,,,1084.402924,,1091.717621,1128.907713,,1342.773438,
1980-07-09,,,1084.402924,,1093.014638,1128.907713,,1310.546875,
1980-07-10,,,1084.402924,,1083.472299,1128.907713,,1282.226563,
1980-07-11,,,1084.402924,,1091.717621,1128.907713,,1302.734375,
1980-07-14,,,1084.402924,,1111.821382,1128.907713,,1269.53125,
1980-07-15,,,1084.402924,,1105.243654,1128.907713,,1209.960938,
1980-07-16,,,1084.402924,,1108.300908,1128.907713,,1220.214844,
1980-07-17,,,1084.402924,,1125.069483,1128.907713,,1225.097656,
1980-07-18,,,1084.402924,,1130.628127,1128.907713,,1183.59375,
1980-07-21,,,1084.402924,,1134.982398,1128.907713,,1206.054688,
1980-07-22,,,1084.402924,,1132.017788,1128.907713,,1197.265625,
1980-07-23,,,1084.402924,,1129.609042,1128.907713,,1232.910156,
1980-07-24,,,1084.402924,,1128.312025,1128.907713,,1255.859375,
1980-07-25,,,1084.402924,,1118.954975,1128.907713,,1272.949219,
1980-07-28,,,1084.402924,,1124.976839,1128.907713,,1256.835938,
1980-07-29,,,1084.402924,,1133.963313,1128.907713,,1263.183594,
1980-07-30,,,1084.402924,,1132.388364,1128.907713,,1228.515625,
1980-07-31,,,1061.982128,,1127.200296,1121.92193,,1199.707031,
1980-08-01,,,1061.982128,,1122.93867,1121.92193,,1214.84375,
1980-08-04,,,1061.982128,,1120.807856,1121.92193,,1231.933594,
1980-08-05,,,1061.982128,,1118.584399,1121.92193,,1231.445313,
1980-08-06,,,1061.982128,,1126.088568,1121.92193,,1226.074219,
1980-08-07,,,1061.982128,,1142.301278,1121.92193,,1229.492188,
1980-08-08,,,1061.982128,,1145.173244,1121.92193,,1230.46875,
1980-08-11,,,1061.982128,,1156.0126,1121.92193,,1205.078125,
1980-08-12,,,1061.982128,,1146.840838,1121.92193,,1181.640625,
1980-08-13,,,1061.982128,,1142.11599,1121.92193,,1201.660156,
1980-08-14,,,1061.982128,,1160.36687,1121.92193,,1222.65625,
1980-08-15,,,1061.982128,,1164.721141,1121.92193,,1219.726563,
1980-08-18,,,1061.982128,,1143.135075,1121.92193,,1195.800781,
1980-08-19,,,1061.982128,,1135.816194,1121.92193,,1218.75,
1980-08-20,,,1061.982128,,1146.655549,1121.92193,,1239.746094,
1980-08-21,,,1061.982128,,1162.312396,1121.92193,,1260.253906,
1980-08-22,,,1061.982128,,1167.500463,1121.92193,,1248.4375,
1980-08-25,,,1061.982128,,1159.533074,1121.92193,,1248.4375,
1980-08-26,,,1061.982128,,1156.568464,1121.92193,,1228.222656,
1980-08-27,,,1061.982128,,1144.339448,1121.92193,,1237.988281,
1980-08-28,,,1061.982128,,1130.998703,1121.92193,,1240.820313,
1980-08-29,,,1023.964257,,1133.778025,1159.411869,,1232.910156,
1980-09-01,,,1023.964257,,1133.778025,1159.411869,,1228.027344,
1980-09-02,,,1023.964257,,1146.284973,1159.411869,,1250,
1980-09-03,,,1023.964257,,1168.426904,1159.411869,,1243.652344,
1980-09-04,,,1023.964257,,1161.94182,1159.411869,,1264.160156,
1980-09-05,,,1023.964257,,1156.93904,1159.411869,,1271.484375,
1980-09-08,,,1023.964257,,1142.393923,1159.411869,,1312.5,
1980-09-09,,,1023.964257,,1149.434871,1159.411869,,1309.570313,
1980-09-10,,,1023.964257,,1156.290532,1159.411869,,1340.820313,
1980-09-11,,,1023.964257,,1164.165277,1159.411869,,1316.40625,
1980-09-12,,,1023.964257,,1163.053548,1159.411869,,1338.867188,
1980-09-15,,,1023.964257,,1164.257921,1159.411869,,1301.757813,
1980-09-16,,,1023.964257,,1174.170836,1159.411869,,1304.6875,
1980-09-17,,,1023.964257,,1193.904021,1159.411869,,1314.453125,
1980-09-18,,,1023.964257,,1189.54975,1159.411869,,1312.5,
1980-09-19,,,1023.964257,,1197.424495,1159.411869,,1316.40625,
1980-09-22,,,1023.964257,,1208.078562,1159.411869,,1386.71875,
1980-09-23,,,1023.964257,,1199.092088,1159.411869,,1388.671875,
1980-09-24,,,1023.964257,,1207.80063,1159.411869,,1387.695313,
1980-09-25,,,1023.964257,,1192.51436,1159.411869,,1362.792969,
1980-09-26,,,1023.964257,,1170.557717,1159.411869,,1364.746094,
1980-09-29,,,1023.964257,,1144.524736,1159.411869,,1326.660156,
1980-09-30,,,1013.241267,,1162.312396,1198.421204,,1302.246094,
1980-10-01,,,1013.241267,,1177.783954,1198.421204,,1332.03125,
1980-10-02,,,1013.241267,,1186.677784,1198.421204,,1300.292969,
1980-10-03,,,1013.241267,,1198.165648,1198.421204,,1290.039063,
1980-10-06,,,1013.241267,,1220.400222,1198.421204,,1319.335938,
1980-10-07,,,1013.241267,,1213.637206,1198.421204,,1324.511719,
1980-10-08,,,1013.241267,,1219.65907,1198.421204,,1322.265625,
1980-10-09,,,1013.241267,,1214.007782,1198.421204,,1347.65625,
1980-10-10,,,1013.241267,,1207.059477,1198.421204,,1338.378906,
1980-10-13,,,1013.241267,,1223.179544,1198.421204,,1327.636719,
1980-10-14,,,1013.241267,,1223.0869,1198.421204,,1305.664063,
1980-10-15,,,1013.241267,,1238.651102,1198.421204,,1324.21875,
1980-10-16,,,1013.241267,,1224.939781,1198.421204,,1316.40625,
1980-10-17,,,1013.241267,,1218.454697,1198.421204,,1309.570313,
1980-10-20,,,1013.241267,,1228.5529,1198.421204,,1283.203125,
1980-10-21,,,1013.241267,,1221.419307,1198.421204,,1274.414063,
1980-10-22,,,1013.241267,,1222.16046,1198.421204,,1289.0625,
1980-10-23,,,1013.241267,,1200.018529,1198.421204,,1239.257813,
1980-10-24,,,1013.241267,,1202.983139,1198.421204,,1236.328125,
1980-10-27,,,1013.241267,,1184.732259,1198.421204,,1244.628906,
1980-10-28,,,1013.241267,,1186.307208,1198.421204,,1233.886719,
1980-10-29,,,1013.241267,,1185.010191,1198.421204,,1257.8125,
1980-10-30,,,1013.241267,,1170.001853,1198.421204,,1254.882813,
1980-10-31,,,1001.624695,,1180.933852,1247.480943,,1228.515625,
1980-11-03,,,1001.624695,,1195.47897,1247.480943,,1250.976563,
1980-11-04,,,1001.624695,,1195.47897,1247.480943,,1261.71875,
1980-11-05,,,1001.624695,,1216.69446,1247.480943,,1273.4375,
1980-11-06,,,1001.624695,,1194.274597,1247.480943,,1234.375,
1980-11-07,,,1001.624695,,1196.775987,1247.480943,,1164.0625,
1980-11-10,,,1001.624695,,1199.555309,1247.480943,,1196.289063,
1980-11-11,,,1001.624695,,1216.045951,1247.480943,,1168.945313,
1980-11-12,,,1001.624695,,1246.896424,1247.480943,,1209.960938,
1980-11-13,,,1001.624695,,1264.498796,1247.480943,,1214.84375,
1980-11-14,,,1001.624695,,1270.613304,1247.480943,,1196.289063,
1980-11-17,,,1001.624695,,1276.171947,1247.480943,,1194.824219,
1980-11-18,,,1001.624695,,1294.237539,1247.480943,,1208.984375,
1980-11-19,,,1001.624695,,1288.308319,1247.480943,,1229.980469,
1980-11-20,,,1001.624695,,1300.722624,1247.480943,,1231.445313,
1980-11-21,,,1001.624695,,1288.77154,1247.480943,,1239.746094,
1980-11-24,,,1001.624695,,1281.360015,1247.480943,,1232.421875,
1980-11-25,,,1001.624695,,1290.809709,1247.480943,,1203.613281,
1980-11-26,,,1001.624695,,1298.59181,1247.480943,,1216.796875,
1980-11-27,,,1001.624695,,1298.59181,1247.480943,,1214.84375,
1980-11-28,,,999.756296,,1301.834352,1220.953906,,1210.449219,
1980-12-01,,,999.756296,,1271.169168,1220.953906,,1240.234375,
1980-12-02,,,999.756296,,1268.945711,1220.953906,,1224.609375,
1980-12-03,,,999.756296,,1266.536965,1220.953906,,1225.097656,
1980-12-04,,,999.756296,,1264.406152,1220.953906,,1233.398438,
1980-12-05,,,999.756296,,1241.708356,1220.953906,,1205.078125,
